Title,Authors,Link,Bookshelf
The Declaration of Independence of the United States of America,Jefferson, Thomas, 1743-1826,http://www.gutenberg.org/ebooks/1,"Politics, American Revolutionary War, United States Law"
The United States Bill of Rights The Ten Original Amendments to the Constitution of the United States,United States,http://www.gutenberg.org/ebooks/2,"Politics, American Revolutionary War, United States Law"
John F. Kennedy's Inaugural Address,Kennedy, John F. (John Fitzgerald), 1917-1963,http://www.gutenberg.org/ebooks/3,
Lincoln's Gettysburg Address Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA,Lincoln, Abraham, 1809-1865,http://www.gutenberg.org/ebooks/4,US Civil War
The United States Constitution,United States,http://www.gutenberg.org/ebooks/5,"United States, Politics, American Revolutionary War, United States Law"
Give Me Liberty or Give Me Death,Henry, Patrick, 1736-1799,http://www.gutenberg.org/ebooks/6,American Revolutionary War
The Mayflower Compact,,http://www.gutenberg.org/ebooks/7,
Abraham Lincoln's Second Inaugural Address,Lincoln, Abraham, 1809-1865,http://www.gutenberg.org/ebooks/8,US Civil War
Abraham Lincoln's First Inaugural Address,Lincoln, Abraham, 1809-1865,http://www.gutenberg.org/ebooks/9,US Civil War
The King James Version of the Bible,,http://www.gutenberg.org/ebooks/10,Banned Books List from the American Library Association
Alice's Adventures in Wonderland,Carroll, Lewis, 1832-1898,http://www.gutenberg.org/ebooks/11,Children's Literature
Through the Looking-Glass,Carroll, Lewis, 1832-1898,http://www.gutenberg.org/ebooks/12,"Best Books Ever Listings, Children's Literature"
The Hunting of the Snark: An Agony in Eight Fits,Carroll, Lewis, 1832-1898,http://www.gutenberg.org/ebooks/13,Children's Literature
The 1990 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/14,CIA World Factbooks
"Moby-Dick, or, The Whale",Melville, Herman, 1819-1891,http://www.gutenberg.org/ebooks/15,"Best Books Ever Listings, Adventure"
Peter Pan,Barrie, J. M. (James Matthew), 1860-1937,http://www.gutenberg.org/ebooks/16,"Children's Literature, Movie Books"
The Book of Mormon An Account Written by the Hand of Mormon, Upon Plates Taken from the Plates of Nephi,"Church of Jesus Christ of Latter-day Saints, Smith, Joseph, Jr., 1805-1844",http://www.gutenberg.org/ebooks/17,"Christianity, Latter Day Saints"
The Federalist Papers,"Hamilton, Alexander, 1757-1804, Jay, John, 1745-1829, Madison, James, 1751-1836",http://www.gutenberg.org/ebooks/18,Politics
The Song of Hiawatha,"Longfellow, Henry Wadsworth, 1807-1882, Morris, Woodrow W. [Editor]",http://www.gutenberg.org/ebooks/19,"Children's Literature, Poetry, Native America"
Paradise Lost,Milton, John, 1608-1674,http://www.gutenberg.org/ebooks/20,"Poetry, Banned Books from Anne Haight's list"
Aesop's Fables Translated by George Fyler Townsend,"Aesop, 620? BCE-564? BCE, Townsend, George Fyler, 1814-1900 [Translator]",http://www.gutenberg.org/ebooks/21,
Roget's Thesaurus,Roget, Peter Mark, 1779-1869,http://www.gutenberg.org/ebooks/22,Reference
Narrative of the Life of Frederick Douglass, an American Slave,Douglass, Frederick, 1818-1895,http://www.gutenberg.org/ebooks/23,"African American Writers, Slavery"
